1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
27,"15101","013003","3","","","","新潟県","新潟市北区","松浜本町","３丁目",246,12,10,8,9,12,11,16,15,10,11,20,15,22,25,18,7,7,6,3,2,-,7,11217,47.4330543933,30,141,68,25,11,-,120,5,5,4,5,6,9,10,7,7,5,9,12,11,9,8,5,1,-,-,-,-,2,5126,43.9406779661,14,81,23,6,-,-,126,7,5,4,4,6,2,6,8,3,6,11,3,11,16,10,2,6,6,3,2,-,5,6091,50.8388429752,16,60,45,19,11,-
28,"15101","013004","3","","","","新潟県","新潟市北区","松浜本町","４丁目",281,5,6,6,9,5,9,7,14,13,13,12,23,24,33,22,20,21,22,9,5,1,2,16329,59.0268817204,17,129,133,78,37,-,126,-,3,3,4,3,5,3,7,5,9,4,12,11,20,8,9,8,8,2,-,-,2,7037,57.2500000000,6,63,55,27,10,-,155,5,3,3,5,2,4,4,7,8,4,8,11,13,13,14,11,13,14,7,5,1,-,9292,60.4483870968,11,66,78,51,27,-
29,"15101","0140","2","","","","新潟県","新潟市北区","松浜","",5118,148,198,254,267,202,191,235,289,353,337,366,333,377,433,340,316,256,141,47,4,-,31,244880,48.6383919796,600,2950,1537,764,192,81,2458,83,98,138,141,93,103,107,155,176,159,184,158,172,210,156,136,108,47,16,1,-,17,113353,46.9371159361,319,1448,674,308,64,36,2660,65,100,116,126,109,88,128,134,177,178,182,175,205,223,184,180,148,94,31,3,-,14,131527,50.2078609221,281,1502,863,456,128,45
30,"15101","014001","3","","","","新潟県","新潟市北区","松浜","１丁目",526,16,16,27,26,25,12,25,30,32,34,39,34,45,40,43,39,24,13,4,-,-,2,25626,49.4045801527,59,302,163,80,17,2,247,6,7,20,11,13,7,11,14,17,16,18,17,17,20,19,16,11,3,2,-,-,2,11553,47.6551020408,33,141,71,32,5,1,279,10,9,7,15,12,5,14,16,15,18,21,17,28,20,24,23,13,10,2,-,-,-,14073,50.9408602151,26,161,92,48,12,1
31,"15101","014002","3","","","","新潟県","新潟市北区","松浜","２丁目",237,11,11,5,8,8,8,7,12,17,9,13,16,20,22,15,12,22,7,4,1,-,9,11659,51.6359649123,27,118,83,46,12,-,115,9,7,3,7,3,4,1,6,9,5,5,9,7,9,8,3,12,3,-,-,-,5,5107,46.9272727273,19,56,35,18,3,-,122,2,4,2,1,5,4,6,6,8,4,8,7,13,13,7,9,10,4,4,1,-,4,6552,56.0254237288,8,62,48,28,9,-
32,"15101","014003","3","","","","新潟県","新潟市北区","松浜","３丁目",571,16,11,21,24,14,26,22,32,30,40,38,38,51,52,42,45,36,24,7,1,-,1,29818,52.8122807018,48,315,207,113,32,-,269,8,8,11,10,6,13,10,19,14,21,21,15,25,25,17,21,11,9,3,1,-,1,13528,50.9776119403,27,154,87,45,13,-,302,8,3,10,14,8,13,12,13,16,19,17,23,26,27,25,24,25,15,4,-,-,-,16290,54.4403973510,21,161,120,68,19,-
33,"15101","014004","3","","","","新潟県","新潟市北区","松浜","４丁目",655,2,18,29,50,28,25,12,25,42,51,54,45,49,40,42,53,47,31,10,1,-,1,33878,52.3012232416,49,381,224,142,42,5,318,1,6,17,24,13,17,5,16,22,25,24,24,22,21,20,20,21,15,4,-,-,1,16023,51.0457413249,24,192,101,60,19,3,337,1,12,12,26,15,8,7,9,20,26,30,21,27,19,22,33,26,16,6,1,-,-,17855,53.4821958457,25,189,123,82,23,2
34,"15101","014005","3","","","","新潟県","新潟市北区","松浜","５丁目",823,28,41,55,57,31,39,41,49,63,55,53,50,54,71,50,43,20,13,1,-,-,9,35588,44.2199017199,124,492,198,77,14,56,360,17,17,25,30,11,18,19,18,26,22,27,21,21,35,19,19,8,2,1,-,-,4,15127,42.9915730337,59,213,84,30,3,23,463,11,24,30,27,20,21,22,31,37,33,26,29,33,36,31,24,12,11,-,-,-,5,20461,45.1746724891,65,279,114,47,11,33
35,"15101","014006","3","","","","新潟県","新潟市北区","松浜","６丁目",774,28,40,36,26,34,22,38,53,57,42,48,39,42,76,52,64,45,18,7,1,-,6,37159,48.8841145833,104,401,263,135,26,2,376,14,21,20,13,20,12,20,28,29,22,25,17,20,34,26,27,18,4,3,-,-,3,17167,46.5241286863,55,206,112,52,7,1,398,14,19,16,13,14,10,18,25,28,20,23,22,22,42,26,37,27,14,4,1,-,3,19992,51.1126582278,49,195,151,83,19,1
36,"15101","014007","3","","","","新潟県","新潟市北区","松浜","７丁目",549,10,18,26,27,17,16,17,27,39,32,38,41,38,59,47,32,33,22,10,-,-,-,28387,52.2067395264,54,292,203,97,32,3,272,7,9,13,12,5,8,8,16,22,15,20,24,20,32,22,16,14,8,1,-,-,-,13790,51.1985294118,29,150,93,39,9,2,277,3,9,13,15,12,8,9,11,17,17,18,17,18,27,25,16,19,14,9,-,-,-,14597,53.1967509025,25,142,110,58,23,1
37,"15101","014008","3","","","","新潟県","新潟市北区","松浜","８丁目",983,37,43,55,49,45,43,73,61,73,74,83,70,78,73,49,28,29,13,4,-,-,3,42765,44.1377551020,135,649,196,74,17,13,501,21,23,29,34,22,24,33,38,37,33,44,31,40,34,25,14,13,3,2,-,-,1,21058,42.6160000000,73,336,91,32,5,6,482,16,20,26,15,23,19,40,23,36,41,39,39,38,39,24,14,16,10,2,-,-,2,21707,45.7229166667,62,313,105,42,12,7
38,"15101","0150","2","","","","新潟県","新潟市北区","松浜みなと","",1053,27,50,53,55,52,53,52,64,84,61,82,72,87,95,61,47,33,14,7,1,1,2,47921,46.0956232160,130,662,259,103,23,11,540,14,26,31,32,25,28,26,34,56,27,43,34,47,47,28,21,12,3,4,1,-,1,23741,44.5463821892,71,352,116,41,8,6,513,13,24,22,23,27,25,26,30,28,34,39,38,40,48,33,26,21,11,3,-,1,1,24180,47.7265625000,59,310,143,62,15,5
39,"15101","0160","2","","","","新潟県","新潟市北区","三軒屋町","",440,13,12,21,16,26,28,19,27,27,32,23,30,34,39,21,31,19,13,7,2,-,-,21223,48.7340909091,46,262,132,72,22,7,225,11,9,9,6,16,19,12,14,12,15,10,17,21,20,12,11,6,3,2,-,-,-,10050,45.1666666667,29,142,54,22,5,4,215,2,3,12,10,10,9,7,13,15,17,13,13,13,19,9,20,13,10,5,2,-,-,11173,52.4674418605,17,120,78,50,17,3
40,"15101","0170","2","","","","新潟県","新潟市北区","松浜新町","",870,19,32,40,43,28,20,28,57,78,57,40,27,44,97,115,72,49,11,8,3,-,2,44222,51.4470046083,91,422,355,143,22,-,430,11,17,21,22,16,11,13,25,46,34,19,10,16,38,57,41,22,6,3,1,-,1,21324,50.2062937063,49,212,168,73,10,-,440,8,15,19,21,12,9,15,32,32,23,21,17,28,59,58,31,27,5,5,2,-,1,22898,52.6594533030,42,210,187,70,12,-
41,"15101","0180","2","","","","新潟県","新潟市北区","西名目所","",777,47,22,20,33,28,51,49,56,43,40,38,50,57,85,52,38,29,25,12,-,1,1,36826,47.9561855670,89,445,242,105,38,12,380,26,13,9,16,20,21,18,33,20,23,18,25,25,41,26,18,11,11,4,-,1,1,17475,46.6081794195,48,219,112,45,16,6,397,21,9,11,17,8,30,31,23,23,17,20,25,32,44,26,20,18,14,8,-,-,-,19351,49.2430730479,41,226,130,60,22,6
42,"15101","0190","2","","","","新潟県","新潟市北区","新元島町","",1313,64,54,76,72,55,76,73,73,112,106,69,78,79,108,80,64,42,18,9,2,-,3,57425,44.3358778626,194,793,323,135,29,5,658,34,30,40,41,30,40,39,40,54,55,32,35,41,50,34,32,24,4,2,-,-,1,27711,42.6780821918,104,407,146,62,6,-,655,30,24,36,31,25,36,34,33,58,51,37,43,38,58,46,32,18,14,7,2,-,2,29714,46.0038284839,90,386,177,73,23,5
