1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
4631,"15208","041000","3","","","","新潟県","小千谷市","真人町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4632,"15208","041001","3","","","","新潟県","小千谷市","真人町","上沢",185,3,4,6,8,2,5,7,14,15,12,7,10,17,26,15,15,11,4,3,-,1,-,9928,54.1648648649,13,97,75,34,8,1,100,-,3,4,4,2,3,3,10,8,6,6,5,7,11,12,5,6,2,2,-,1,-,5314,53.6400000000,7,54,39,16,5,-,85,3,1,2,4,-,2,4,4,7,6,1,5,10,15,3,10,5,2,1,-,-,-,4614,54.7823529412,6,43,36,18,3,1
4633,"15208","041002","3","","","","新潟県","小千谷市","真人町","万年",19,-,-,-,1,2,1,-,-,-,3,1,3,3,1,1,1,-,2,-,-,-,-,1040,55.2368421053,-,14,5,3,2,2,10,-,-,-,-,2,1,-,-,-,1,1,1,1,1,-,1,-,1,-,-,-,-,526,53.1000000000,-,7,3,2,1,-,9,-,-,-,1,-,-,-,-,-,2,-,2,2,-,1,-,-,1,-,-,-,-,514,57.6111111111,-,7,2,1,1,2
4634,"15208","041003","3","","","","新潟県","小千谷市","真人町","栗山",33,2,-,2,2,-,-,1,2,1,3,4,-,3,1,5,2,2,1,1,1,-,-,1771,54.1666666667,4,16,13,7,3,-,14,1,-,1,2,-,-,1,-,-,3,1,-,1,1,1,1,1,-,-,-,-,-,636,45.9285714286,2,8,4,2,-,-,19,1,-,1,-,-,-,-,2,1,-,3,-,2,-,4,1,1,1,1,1,-,-,1135,60.2368421053,2,8,9,5,3,-
4635,"15208","041004","3","","","","新潟県","小千谷市","真人町","本村",186,6,10,7,6,8,4,12,7,9,14,9,13,14,18,14,12,9,7,7,-,-,-,9429,51.1935483871,23,96,67,35,14,3,92,1,5,4,4,6,3,6,4,4,6,2,9,8,9,9,4,4,3,1,-,-,-,4510,49.5217391304,10,52,30,12,4,-,94,5,5,3,2,2,1,6,3,5,8,7,4,6,9,5,8,5,4,6,-,-,-,4919,52.8297872340,13,44,37,23,10,3
4636,"15208","041005","3","","","","新潟県","小千谷市","真人町","干三",193,4,4,5,4,6,5,8,10,10,9,13,14,23,17,10,15,13,12,10,-,1,-,10935,57.1580310881,13,102,78,51,23,2,95,4,2,2,3,4,3,5,7,7,4,9,5,12,7,5,5,5,3,3,-,-,-,4834,51.3842105263,8,59,28,16,6,-,98,-,2,3,1,2,2,3,3,3,5,4,9,11,10,5,10,8,9,7,-,1,-,6101,62.7551020408,5,43,50,35,17,2
4637,"15208","041006","3","秘匿地域","041013","","新潟県","小千谷市","真人町","源藤山",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4638,"15208","041007","3","","","","新潟県","小千谷市","真人町","石名坂",110,1,3,4,4,2,6,7,6,1,4,5,13,18,6,4,5,11,5,3,2,-,-,5995,55.0000000000,8,66,36,26,10,2,50,-,1,2,1,2,4,3,1,-,2,3,5,11,5,1,2,5,1,1,-,-,-,2681,54.1200000000,3,32,15,9,2,-,60,1,2,2,3,-,2,4,5,1,2,2,8,7,1,3,3,6,4,2,2,-,-,3314,55.7333333333,5,34,21,17,8,2
4639,"15208","041008","3","","","","新潟県","小千谷市","真人町","中山",94,2,2,3,2,3,5,4,4,7,1,7,9,13,9,6,4,7,1,5,-,-,-,5042,54.1382978723,7,55,32,17,6,1,49,1,2,2,1,1,3,2,2,4,1,3,5,6,5,2,4,2,-,3,-,-,-,2542,52.3775510204,5,28,16,9,3,-,45,1,-,1,1,2,2,2,2,3,-,4,4,7,4,4,-,5,1,2,-,-,-,2500,56.0555555556,2,27,16,8,3,1
4640,"15208","041009","3","","","","新潟県","小千谷市","真人町","市之沢",33,-,-,-,1,1,-,1,1,4,2,4,2,2,2,1,2,3,6,1,-,-,-,2026,61.8939393939,-,18,15,12,7,-,19,-,-,-,-,-,-,1,1,4,2,3,1,1,-,1,1,2,2,-,-,-,-,1085,57.6052631579,-,13,6,5,2,-,14,-,-,-,1,1,-,-,-,-,-,1,1,1,2,-,1,1,4,1,-,-,-,941,67.7142857143,-,5,9,7,5,-
4641,"15208","041010","3","","","","新潟県","小千谷市","真人町","時之島，芋坂",214,6,8,10,14,6,10,6,10,7,14,18,18,13,12,10,16,21,12,3,-,-,-,10907,51.4672897196,24,116,74,52,15,1,112,1,3,6,10,3,6,3,5,6,7,10,13,8,6,4,8,7,5,1,-,-,-,5520,49.7857142857,10,71,31,21,6,-,102,5,5,4,4,3,4,3,5,1,7,8,5,5,6,6,8,14,7,2,-,-,-,5387,53.3137254902,14,45,43,31,9,1
4642,"15208","041011","3","合算地域あり","","041012","新潟県","小千谷市","真人町","山新田",22,1,1,-,-,-,2,-,1,-,-,-,1,-,4,5,3,4,-,-,-,-,-,1347,61.7272727273,2,4,16,7,-,-,10,-,-,-,-,-,-,-,1,-,-,-,1,-,1,4,1,2,-,-,-,-,-,694,69.9000000000,-,2,8,3,-,-,12,1,1,-,-,-,2,-,-,-,-,-,-,-,3,1,2,2,-,-,-,-,-,653,54.9166666667,2,2,8,4,-,-
4643,"15208","041012","3","秘匿地域","041011","","新潟県","小千谷市","真人町","芹久保",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4644,"15208","041013","3","合算地域あり","","041006","新潟県","小千谷市","真人町","若栃",100,2,-,1,3,2,5,6,2,2,7,9,8,7,8,9,9,11,7,1,1,-,-,5850,59.0000000000,3,51,46,29,9,-,42,1,-,-,-,1,2,4,1,1,3,5,4,4,5,2,2,4,3,-,-,-,-,2380,57.1666666667,1,25,16,9,3,-,58,1,-,1,3,1,3,2,1,1,4,4,4,3,3,7,7,7,4,1,1,-,-,3470,60.3275862069,2,26,30,20,6,-
4645,"15208","041014","3","","","","新潟県","小千谷市","真人町","北山",17,-,-,-,-,-,-,-,-,-,-,1,1,2,-,2,6,2,3,-,-,-,-,1260,74.6176470588,-,4,13,11,3,-,10,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,3,2,1,-,-,-,-,721,72.6000000000,-,3,7,6,1,-,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,-,2,-,-,-,-,539,77.5000000000,-,1,6,5,2,-
4646,"15208","0420","2","","","","新潟県","小千谷市","片貝町","",3813,116,151,179,151,123,124,186,208,206,221,247,263,318,329,283,255,222,149,67,10,5,-,193098,51.1420141621,446,2047,1320,708,231,12,1864,62,79,84,84,63,63,85,115,104,128,117,127,162,162,133,118,101,58,15,4,-,-,91422,49.5461373391,225,1048,591,296,77,4,1949,54,72,95,67,60,61,101,93,102,93,130,136,156,167,150,137,121,91,52,6,5,-,101676,52.6682914315,221,999,729,412,154,8
4647,"15208","042001","3","","","","新潟県","小千谷市","片貝町","一之町１区",146,8,7,8,5,3,5,6,10,3,10,8,13,10,9,13,9,13,6,-,-,-,-,7199,49.8082191781,23,73,50,28,6,1,73,8,2,4,1,3,2,4,5,1,5,4,7,4,7,5,4,4,3,-,-,-,-,3378,46.7739726027,14,36,23,11,3,-,73,-,5,4,4,-,3,2,5,2,5,4,6,6,2,8,5,9,3,-,-,-,-,3821,52.8424657534,9,37,27,17,3,1
4648,"15208","042002","3","","","","新潟県","小千谷市","片貝町","一之町２区",238,8,16,17,13,11,8,7,23,22,11,10,14,15,20,20,9,6,5,3,-,-,-,10464,44.4663865546,41,134,63,23,8,1,100,3,10,5,5,2,4,5,8,9,7,3,8,4,9,7,7,2,2,-,-,-,-,4364,44.1400000000,18,55,27,11,2,1,138,5,6,12,8,9,4,2,15,13,4,7,6,11,11,13,2,4,3,3,-,-,-,6100,44.7028985507,23,79,36,12,6,-
4649,"15208","042003","3","","","","新潟県","小千谷市","片貝町","一之町３区",345,13,17,16,9,11,12,23,17,17,21,28,17,27,28,31,29,15,10,3,1,-,-,17037,49.8826086957,46,182,117,58,14,3,170,4,12,7,6,7,6,8,11,7,11,18,6,17,13,10,18,4,4,1,-,-,-,8127,48.3058823529,23,97,50,27,5,3,175,9,5,9,3,4,6,15,6,10,10,10,11,10,15,21,11,11,6,2,1,-,-,8910,51.4142857143,23,85,67,31,9,-
4650,"15208","042004","3","","","","新潟県","小千谷市","片貝町","一之町４区",163,7,8,7,3,4,4,8,8,9,8,9,10,20,15,7,12,9,11,3,1,-,-,8523,52.7883435583,22,83,58,36,15,3,81,1,5,4,2,2,1,4,4,5,6,5,5,11,6,4,3,5,6,1,1,-,-,4230,52.7222222222,10,45,26,16,8,-,82,6,3,3,1,2,3,4,4,4,2,4,5,9,9,3,9,4,5,2,-,-,-,4293,52.8536585366,12,38,32,20,7,3
4651,"15208","042005","3","","","","新潟県","小千谷市","片貝町","一之町５区",396,11,18,20,19,15,14,22,16,24,24,22,31,32,34,27,31,20,8,6,2,-,-,19457,49.6338383838,49,219,128,67,16,-,191,4,6,11,10,6,8,8,9,15,11,10,15,18,17,12,17,10,2,1,1,-,-,9428,49.8612565445,21,110,60,31,4,-,205,7,12,9,9,9,6,14,7,9,13,12,16,14,17,15,14,10,6,5,1,-,-,10029,49.4219512195,28,109,68,36,12,-
4652,"15208","042006","3","","","","新潟県","小千谷市","片貝町","茶畑",137,5,2,5,6,2,5,9,6,5,12,4,14,16,8,12,10,4,9,2,1,-,-,7187,52.9598540146,12,79,46,26,12,1,69,3,2,2,4,1,1,5,5,1,6,3,7,9,2,7,4,2,4,-,1,-,-,3483,50.9782608696,7,42,20,11,5,-,68,2,-,3,2,1,4,4,1,4,6,1,7,7,6,5,6,2,5,2,-,-,-,3704,54.9705882353,5,37,26,15,7,1
4653,"15208","042007","3","","","","新潟県","小千谷市","片貝町","町裏",445,11,15,14,13,16,14,26,18,21,23,34,39,40,48,27,30,31,18,5,1,1,-,23381,53.0415730337,40,244,161,86,25,1,218,7,5,5,9,8,8,11,10,14,16,18,17,17,25,14,12,14,7,1,-,-,-,11116,51.4908256881,17,128,73,34,8,-,227,4,10,9,4,8,6,15,8,7,7,16,22,23,23,13,18,17,11,4,1,1,-,12265,54.5308370044,23,116,88,52,17,1
4654,"15208","042012","3","","","","新潟県","小千谷市","片貝町","表三之町",122,2,4,5,1,3,7,8,10,3,3,4,13,12,15,8,7,6,6,4,1,-,-,6557,54.2459016393,11,64,47,24,11,-,58,2,1,2,1,2,1,6,7,1,1,1,6,6,8,4,2,4,1,2,-,-,-,3004,52.2931034483,5,32,21,9,3,-,64,-,3,3,-,1,6,2,3,2,2,3,7,6,7,4,5,2,5,2,1,-,-,3553,56.0156250000,6,32,26,15,8,-
4655,"15208","042013","3","","","","新潟県","小千谷市","片貝町","稲場",306,7,12,16,13,7,9,16,14,26,18,13,16,24,30,22,18,23,13,9,-,-,-,15774,52.0490196078,35,156,115,63,22,-,160,4,10,10,7,3,6,10,7,12,10,6,8,13,14,10,12,11,4,3,-,-,-,7779,49.1187500000,24,82,54,30,7,-,146,3,2,6,6,4,3,6,7,14,8,7,8,11,16,12,6,12,9,6,-,-,-,7995,55.2602739726,11,74,61,33,15,-
4656,"15208","042014","3","","","","新潟県","小千谷市","片貝町","屋敷",386,12,15,18,11,15,14,13,20,17,10,28,24,27,29,22,28,39,29,13,1,1,-,20868,54.5621761658,45,179,162,111,44,-,188,9,9,10,8,10,7,4,12,11,6,10,14,11,14,12,11,16,12,2,-,-,-,9269,49.8031914894,28,93,67,41,14,-,198,3,6,8,3,5,7,9,8,6,4,18,10,16,15,10,17,23,17,11,1,1,-,11599,59.0808080808,17,86,95,70,30,-
4657,"15208","042015","3","","","","新潟県","小千谷市","片貝町","四之町",160,4,6,8,8,4,1,6,11,9,13,9,12,10,15,21,11,6,-,5,1,-,-,8192,51.7000000000,18,83,59,23,6,-,77,2,3,4,5,1,-,3,8,3,7,5,5,4,7,12,5,2,-,-,1,-,-,3812,50.0064935065,9,41,27,8,1,-,83,2,3,4,3,3,1,3,3,6,6,4,7,6,8,9,6,4,-,5,-,-,-,4380,53.2710843373,9,42,32,15,5,-
4658,"15208","042016","3","","","","新潟県","小千谷市","片貝町","高見",161,3,3,7,12,3,3,5,9,15,8,11,10,14,16,17,11,6,6,2,-,-,-,8281,51.9347826087,13,90,58,25,8,-,78,1,2,1,6,1,2,1,6,9,3,5,6,9,8,8,5,3,2,-,-,-,-,4038,52.2692307692,4,48,26,10,2,-,83,2,1,6,6,2,1,4,3,6,5,6,4,5,8,9,6,3,4,2,-,-,-,4243,51.6204819277,9,42,32,15,6,-
4659,"15208","042017","3","","","","新潟県","小千谷市","片貝町","新屋敷",188,4,7,4,12,11,6,9,12,7,20,17,9,20,10,14,10,8,5,2,-,1,-,9109,48.9521276596,15,123,50,26,8,-,97,2,3,2,4,4,4,6,8,3,15,7,2,13,5,7,4,6,2,-,-,-,-,4703,48.9845360825,7,66,24,12,2,-,91,2,4,2,8,7,2,3,4,4,5,10,7,7,5,7,6,2,3,2,-,1,-,4406,48.9175824176,8,57,26,14,6,-
4660,"15208","042018","3","","","","新潟県","小千谷市","片貝町","五之町",201,8,2,6,10,6,8,13,8,5,14,15,19,21,13,17,13,11,9,3,-,-,-,10423,52.3557213930,16,119,66,36,12,1,104,4,1,5,6,5,6,4,5,2,8,6,9,10,8,8,6,4,4,3,-,-,-,5196,50.4615384615,10,61,33,17,7,-,97,4,1,1,4,1,2,9,3,3,6,9,10,11,5,9,7,7,5,-,-,-,-,5227,54.3865979381,6,58,33,19,5,1
4661,"15208","042019","3","","","","新潟県","小千谷市","片貝町","八島",116,5,2,6,5,5,4,3,3,4,7,15,4,7,15,7,8,9,4,2,-,1,-,6023,52.4224137931,13,57,46,24,7,-,59,3,1,3,4,3,1,2,-,3,3,8,3,4,7,4,2,6,2,-,-,-,-,2944,50.3983050847,7,31,21,10,2,-,57,2,1,3,1,2,3,1,3,1,4,7,1,3,8,3,6,3,2,2,-,1,-,3079,54.5175438596,6,26,25,14,5,-
4662,"15208","042020","3","","","","新潟県","小千谷市","片貝町","沼田",71,2,7,4,3,1,3,5,4,5,7,3,7,2,4,5,3,3,2,-,1,-,-,3156,44.9507042254,13,40,18,9,3,-,31,1,4,1,2,1,1,2,2,2,3,1,3,1,1,3,-,2,1,-,-,-,-,1302,42.5000000000,6,18,7,3,1,-,40,1,3,3,1,-,2,3,2,3,4,2,4,1,3,2,3,1,1,-,1,-,-,1854,46.8500000000,7,22,11,6,2,-
4663,"15208","042021","3","","","","新潟県","小千谷市","片貝町","池津",232,6,10,18,8,6,7,7,19,14,12,17,11,21,20,13,16,13,8,5,-,1,-,11467,49.9267241379,34,122,76,43,14,1,110,4,3,8,4,4,5,2,8,6,10,7,6,11,11,6,6,6,2,1,-,-,-,5249,48.2181818182,15,63,32,15,3,-,122,2,7,10,4,2,2,5,11,8,2,10,5,10,9,7,10,7,6,4,-,1,-,6218,51.4672131148,19,59,44,28,11,1
4664,"15208","042022","3","","","","新潟県","小千谷市","片貝町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4665,"15208","0430","2","","","","新潟県","小千谷市","片貝山屋町","",110,6,1,6,1,5,2,7,4,9,1,4,16,8,16,6,5,10,2,1,-,-,-,5657,51.9272727273,13,57,40,18,3,-,52,2,-,2,1,2,1,4,4,5,1,1,9,5,5,5,3,2,-,-,-,-,-,2622,50.9230769231,4,33,15,5,-,-,58,4,1,4,-,3,1,3,-,4,-,3,7,3,11,1,2,8,2,1,-,-,-,3035,52.8275862069,9,24,25,13,3,-
4666,"15208","0440","2","","","","新潟県","小千谷市","高梨町","",819,23,21,40,36,19,34,29,49,46,52,45,68,84,83,41,50,46,35,15,2,1,-,41920,51.6843711844,84,462,273,149,53,4,417,12,12,21,19,8,17,16,32,26,30,23,35,39,49,21,23,17,12,4,1,-,-,20556,49.7949640288,45,245,127,57,17,1,402,11,9,19,17,11,17,13,17,20,22,22,33,45,34,20,27,29,23,11,1,1,-,21364,53.6442786070,39,217,146,92,36,3
4667,"15208","044001","3","","","","新潟県","小千谷市","高梨町","高梨",364,11,5,14,19,10,21,9,14,20,29,27,36,33,22,18,29,29,13,3,1,1,-,18817,52.1950549451,30,218,116,76,18,-,186,7,1,8,12,4,9,6,9,11,15,16,21,19,10,9,13,10,4,1,1,-,-,9228,50.1129032258,16,122,48,29,6,-,178,4,4,6,7,6,12,3,5,9,14,11,15,14,12,9,16,19,9,2,-,1,-,9589,54.3707865169,14,96,68,47,12,-
4668,"15208","044002","3","","","","新潟県","小千谷市","高梨町","五辺",455,12,16,26,17,9,13,20,35,26,23,18,32,51,61,23,21,17,22,12,1,-,-,23103,51.2758241758,54,244,157,73,35,4,231,5,11,13,7,4,8,10,23,15,15,7,14,20,39,12,10,7,8,3,-,-,-,11328,49.5389610390,29,123,79,28,11,1,224,7,5,13,10,5,5,10,12,11,8,11,18,31,22,11,11,10,14,9,1,-,-,11775,53.0669642857,25,121,78,45,24,3
4669,"15208","0450","2","","","","新潟県","小千谷市","鴻巣町","",204,6,10,9,10,9,6,11,8,10,15,14,12,19,11,14,17,12,8,3,-,-,-,10106,50.0392156863,25,114,65,40,11,3,98,4,4,2,8,5,3,7,3,5,7,8,5,10,6,2,8,7,4,-,-,-,-,4669,48.1428571429,10,61,27,19,4,1,106,2,6,7,2,4,3,4,5,5,8,6,7,9,5,12,9,5,4,3,-,-,-,5437,51.7924528302,15,53,38,21,7,2
4670,"15209","","1","","","","新潟県","加茂市","","",27852,830,929,1138,1331,1050,1096,1239,1551,1714,1683,1756,2020,2298,2478,1922,1742,1509,974,429,93,18,52,1391057,50.5380215827,2897,15738,9165,4765,1514,84,13447,442,479,600,676,537,586,631,799,877,853,882,1004,1159,1211,908,738,608,306,100,19,1,31,642942,48.4235241503,1521,8004,3891,1772,426,28,14405,388,450,538,655,513,510,608,752,837,830,874,1016,1139,1267,1014,1004,901,668,329,74,17,21,748115,52.5102196885,1376,7734,5274,2993,1088,56
4671,"15209","0010","2","","","","新潟県","加茂市","大字加茂","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4672,"15209","0020","2","","","","新潟県","加茂市","大字上条","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4673,"15209","0030","2","","","","新潟県","加茂市","町丁字コード0030の計","",786,13,21,43,38,27,32,41,33,43,41,42,82,81,56,53,47,45,32,12,4,-,-,39964,51.3447837150,77,460,249,140,48,2,384,8,13,25,13,15,15,22,20,20,25,19,39,46,28,23,23,17,10,2,1,-,-,18666,49.1093750000,46,234,104,53,13,1,402,5,8,18,25,12,17,19,13,23,16,23,43,35,28,30,24,28,22,10,3,-,-,21298,53.4800995025,31,226,145,87,35,1
4674,"15209","003000","3","","","","新潟県","加茂市","大字狭口","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4675,"15209","003001","3","","","","新潟県","加茂市","大字狭口（１区）","",305,4,11,22,13,8,9,22,6,20,18,13,26,32,19,27,19,14,17,3,2,-,-,15494,51.3000000000,37,167,101,55,22,2,153,2,9,14,5,6,4,14,4,8,9,7,12,17,10,9,13,4,6,-,-,-,-,7183,47.4477124183,25,86,42,23,6,1,152,2,2,8,8,2,5,8,2,12,9,6,14,15,9,18,6,10,11,3,2,-,-,8311,55.1776315789,12,81,59,32,16,1
4676,"15209","003002","3","","","","新潟県","加茂市","大字狭口（２区）","",314,5,7,12,18,13,15,13,17,11,13,15,36,32,26,17,24,20,11,7,2,-,-,16336,52.5254777070,24,183,107,64,20,-,152,4,3,6,6,6,9,5,9,8,9,6,18,19,12,10,8,9,3,1,1,-,-,7634,50.7236842105,13,95,44,22,5,-,162,1,4,6,12,7,6,8,8,3,4,9,18,13,14,7,16,11,8,6,1,-,-,8702,54.2160493827,11,88,63,42,15,-
4677,"15209","003003","3","","","","新潟県","加茂市","大字狭口（上３区）","",167,4,3,9,7,6,8,6,10,12,10,14,20,17,11,9,4,11,4,2,-,-,-,8134,49.2065868263,16,110,41,21,6,-,79,2,1,5,2,3,2,3,7,4,7,6,9,10,6,4,2,4,1,1,-,-,-,3849,49.2215189873,8,53,18,8,2,-,88,2,2,4,5,3,6,3,3,8,3,8,11,7,5,5,2,7,3,1,-,-,-,4285,49.1931818182,8,57,23,13,4,-
4678,"15209","0040","2","","","","新潟県","加茂市","町丁字コード0040の計","",1024,33,45,48,62,33,41,44,68,62,67,68,85,94,86,64,47,37,22,13,5,-,-,48238,47.6074218750,126,624,274,124,40,3,500,19,26,21,35,15,26,23,33,33,30,37,38,49,41,30,20,14,6,3,1,-,-,22413,45.3260000000,66,319,115,44,10,1,524,14,19,27,27,18,15,21,35,29,37,31,47,45,45,34,27,23,16,10,4,-,-,25825,49.7843511450,60,305,159,80,30,2
4679,"15209","004000","3","","","","新潟県","加茂市","大字加茂新田","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4680,"15209","004001","3","","","","新潟県","加茂市","大字加茂新田（２３区）","",782,23,36,44,48,23,29,36,53,51,51,55,66,69,66,49,35,21,14,8,5,-,-,36234,46.8350383632,103,481,198,83,27,3,381,14,20,20,25,11,18,18,25,29,19,30,32,34,34,22,15,9,3,2,1,-,-,16918,44.9041994751,54,241,86,30,6,1,401,9,16,24,23,12,11,18,28,22,32,25,34,35,32,27,20,12,11,6,4,-,-,19316,48.6695760599,49,240,112,53,21,2
4681,"15209","004002","3","","","","新潟県","加茂市","大字加茂新田（２４区）","",242,10,9,4,14,10,12,8,15,11,16,13,19,25,20,15,12,16,8,5,-,-,-,12004,50.1033057851,23,143,76,41,13,-,119,5,6,1,10,4,8,5,8,4,11,7,6,15,7,8,5,5,3,1,-,-,-,5495,46.6764705882,12,78,29,14,4,-,123,5,3,3,4,6,4,3,7,7,5,6,13,10,13,7,7,11,5,4,-,-,-,6509,53.4186991870,11,65,47,27,9,-
4682,"15209","0050","2","","","","新潟県","加茂市","大字山島新田（２５区）","",187,6,3,11,16,10,7,12,7,17,7,9,17,17,13,8,7,10,8,2,-,-,-,8685,46.9438502674,20,119,48,27,10,-,89,2,2,5,9,5,2,6,3,7,2,5,11,8,6,5,3,3,4,1,-,-,-,4129,46.8932584270,9,58,22,11,5,-,98,4,1,6,7,5,5,6,4,10,5,4,6,9,7,3,4,7,4,1,-,-,-,4556,46.9897959184,11,61,26,16,5,-
4683,"15209","0061","2","","","","新潟県","加茂市","芝野","",508,24,20,26,23,24,38,24,36,36,29,44,42,24,39,26,24,13,13,3,-,-,-,22357,44.5098425197,70,320,118,53,16,4,251,7,13,14,7,15,21,12,19,15,17,21,22,12,21,13,10,7,5,-,-,-,-,11000,44.3247011952,34,161,56,22,5,2,257,17,7,12,16,9,17,12,17,21,12,23,20,12,18,13,14,6,8,3,-,-,-,11357,44.6906614786,36,159,62,31,11,2
