draw,district,total_pop,chain,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
12201,2,442183, 3,0.11301,0.9286,0.008490, 81325,25258,106583,21367,39125,48760,61323,0.4612,0.1432,0.6044,0.7630,0.7920,0.8330,0.7315,0.6861,0.6348,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.235
12201,3,476272, 3,0.11301,0.9286,0.028660, 63239,25679, 88918,25238,48491,64974,81470,0.3535,0.1436,0.4971,0.7112,0.7148,0.7789,0.6471,0.5778,0.5219,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.235
12202,1,333825, 3,0.23200,0.9196,0.004839, 57426,17346, 74772,14810,28649,36309,46160,0.4509,0.1362,0.5872,0.7681,0.7950,0.8347,0.7230,0.6731,0.6183,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.582
12202,2,442183, 3,0.23200,0.9196,0.008490, 81325,25258,106583,21367,39125,48760,61323,0.4612,0.1432,0.6044,0.7630,0.7920,0.8330,0.7315,0.6861,0.6348,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.582
12202,3,527993, 3,0.23200,0.9196,0.004768, 75076,29286,104362,28298,53749,71451,89586,0.3690,0.1439,0.5130,0.7194,0.7263,0.7867,0.6601,0.5936,0.5381,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.582
12206,1,360686, 3,0.23394,0.9375,0.003905, 62725,19473, 82198,16598,31206,39490,50280,0.4497,0.1396,0.5894,0.7632,0.7908,0.8321,0.7249,0.6755,0.6205,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.487
12206,2,406963, 3,0.23394,0.9375,0.008719, 74983,23187, 98170,19381,35727,44503,55980,0.4632,0.1432,0.6064,0.7638,0.7946,0.8351,0.7332,0.6881,0.6369,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.487
12206,3,536352, 3,0.23394,0.9375,0.006172, 76119,29231,105349,28495,54590,72528,90808,0.3699,0.1421,0.5120,0.7226,0.7276,0.7871,0.6587,0.5923,0.5371,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.487
12207,1,527993, 3,0.21471,0.9286,0.004768, 75076,29286,104362,28298,53749,71451,89586,0.3690,0.1439,0.5130,0.7194,0.7263,0.7867,0.6601,0.5936,0.5381,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12207,2,406963, 3,0.21471,0.9286,0.008719, 74983,23187, 98170,19381,35727,44503,55980,0.4632,0.1432,0.6064,0.7638,0.7946,0.8351,0.7332,0.6881,0.6369,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12207,3,369045, 3,0.21471,0.9286,0.004854, 63768,19418, 83185,16796,32047,40567,51503,0.4497,0.1369,0.5867,0.7666,0.7916,0.8321,0.7219,0.6722,0.6176,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12211,1,440779, 3,0.11081,0.9196,0.009444, 60498,24441, 84939,23039,44901,59447,74512,0.3614,0.1460,0.5075,0.7123,0.7242,0.7867,0.6542,0.5883,0.5327,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.233
12211,2,476719, 3,0.11081,0.9196,0.008256, 85178,26470,111648,23408,42765,54198,68223,0.4511,0.1402,0.5913,0.7629,0.7845,0.8267,0.7231,0.6732,0.6207,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.233
