draw,chain,district
366,1,3
366,1,4
366,1,5
369,1,1
369,1,2
369,1,3
369,1,4
369,1,5
370,1,1
370,1,2
370,1,3
370,1,4
370,1,5
377,1,1
377,1,2
377,1,3
377,1,4
377,1,5
378,1,1
378,1,2
378,1,3
378,1,4
378,1,5
380,1,1
380,1,2
380,1,3
380,1,4
380,1,5
381,1,1
381,1,2
381,1,3
381,1,4
381,1,5
386,1,1
386,1,2
386,1,3
386,1,4
386,1,5
387,1,1
387,1,2
387,1,3
387,1,4
387,1,5
388,1,1
388,1,2
388,1,3
388,1,4
388,1,5
392,1,1
392,1,2
392,1,3
392,1,4
392,1,5
395,1,1
395,1,2
395,1,3
395,1,4
395,1,5
399,1,1
399,1,2
399,1,3
399,1,4
399,1,5
410,1,1
410,1,2
410,1,3
410,1,4
410,1,5
411,1,1
411,1,2
411,1,3
411,1,4
411,1,5
414,1,1
414,1,2
414,1,3
414,1,4
414,1,5
421,1,1
421,1,2
421,1,3
421,1,4
421,1,5
423,1,1
423,1,2
423,1,3
423,1,4
423,1,5
424,1,1
424,1,2
424,1,3
424,1,4
424,1,5
425,1,1
425,1,2
425,1,3
425,1,4
425,1,5
436,1,1
436,1,2
436,1,3
436,1,4
436,1,5
438,1,1
438,1,2
438,1,3
438,1,4
438,1,5
445,1,1
445,1,2
445,1,3
445,1,4
445,1,5
449,1,1
449,1,2
449,1,3
449,1,4
449,1,5
456,1,1
456,1,2
456,1,3
456,1,4
456,1,5
458,1,1
458,1,2
458,1,3
458,1,4
458,1,5
460,1,1
460,1,2
460,1,3
460,1,4
460,1,5
465,1,1
465,1,2
465,1,3
465,1,4
465,1,5
479,1,1
479,1,2
479,1,3
479,1,4
479,1,5
485,1,1
485,1,2
485,1,3
485,1,4
485,1,5
486,1,1
486,1,2
486,1,3
486,1,4
486,1,5
491,1,1
491,1,2
491,1,3
491,1,4
491,1,5
496,1,1
496,1,2
496,1,3
496,1,4
496,1,5
500,1,1
500,1,2
500,1,3
500,1,4
500,1,5
504,1,1
504,1,2
504,1,3
504,1,4
504,1,5
508,1,1
508,1,2
508,1,3
508,1,4
508,1,5
509,1,1
509,1,2
509,1,3
509,1,4
509,1,5
510,1,1
510,1,2
510,1,3
510,1,4
510,1,5
516,1,1
516,1,2
516,1,3
516,1,4
516,1,5
519,1,1
519,1,2
519,1,3
519,1,4
519,1,5
520,1,1
520,1,2
520,1,3
520,1,4
520,1,5
522,1,1
522,1,2
522,1,3
522,1,4
522,1,5
527,1,1
527,1,2
527,1,3
527,1,4
527,1,5
533,1,1
533,1,2
533,1,3
533,1,4
533,1,5
539,1,1
539,1,2
539,1,3
539,1,4
539,1,5
540,1,1
540,1,2
540,1,3
540,1,4
540,1,5
548,1,1
548,1,2
548,1,3
548,1,4
548,1,5
550,1,1
550,1,2
550,1,3
550,1,4
550,1,5
559,1,1
559,1,2
559,1,3
559,1,4
559,1,5
561,1,1
561,1,2
561,1,3
561,1,4
561,1,5
572,1,1
572,1,2
572,1,3
572,1,4
572,1,5
578,1,1
578,1,2
578,1,3
578,1,4
578,1,5
581,1,1
581,1,2
581,1,3
581,1,4
581,1,5
586,1,1
586,1,2
586,1,3
586,1,4
586,1,5
589,1,1
589,1,2
589,1,3
589,1,4
589,1,5
590,1,1
590,1,2
590,1,3
590,1,4
590,1,5
595,1,1
595,1,2
595,1,3
595,1,4
595,1,5
605,1,1
605,1,2
605,1,3
605,1,4
605,1,5
606,1,1
606,1,2
606,1,3
606,1,4
606,1,5
615,1,1
615,1,2
615,1,3
615,1,4
615,1,5
622,1,1
622,1,2
622,1,3
622,1,4
622,1,5
625,1,1
625,1,2
625,1,3
625,1,4
625,1,5
628,1,1
628,1,2
628,1,3
628,1,4
628,1,5
641,1,1
641,1,2
641,1,3
641,1,4
641,1,5
642,1,1
642,1,2
642,1,3
642,1,4
642,1,5
645,1,1
645,1,2
645,1,3
645,1,4
645,1,5
650,1,1
650,1,2
650,1,3
650,1,4
650,1,5
654,1,1
654,1,2
654,1,3
654,1,4
654,1,5
658,1,1
658,1,2
658,1,3
658,1,4
658,1,5
662,1,1
662,1,2
662,1,3
662,1,4
662,1,5
667,1,1
667,1,2
667,1,3
667,1,4
667,1,5
669,1,1
669,1,2
669,1,3
669,1,4
669,1,5
673,1,1
673,1,2
673,1,3
673,1,4
673,1,5
676,1,1
676,1,2
676,1,3
676,1,4
676,1,5
680,1,1
680,1,2
680,1,3
680,1,4
680,1,5
681,1,1
681,1,2
681,1,3
681,1,4
681,1,5
690,1,1
690,1,2
690,1,3
690,1,4
690,1,5
694,1,1
694,1,2
694,1,3
694,1,4
694,1,5
697,1,1
697,1,2
697,1,3
697,1,4
697,1,5
698,1,1
698,1,2
698,1,3
698,1,4
698,1,5
699,1,1
699,1,2
699,1,3
699,1,4
699,1,5
701,1,1
701,1,2
701,1,3
701,1,4
701,1,5
704,1,1
704,1,2
704,1,3
704,1,4
704,1,5
711,1,1
711,1,2
711,1,3
711,1,4
711,1,5
712,1,1
712,1,2
712,1,3
712,1,4
712,1,5
721,1,1
721,1,2
721,1,3
721,1,4
721,1,5
723,1,1
723,1,2
723,1,3
723,1,4
723,1,5
736,1,1
736,1,2
736,1,3
736,1,4
736,1,5
739,1,1
739,1,2
739,1,3
739,1,4
739,1,5
745,1,1
745,1,2
745,1,3
745,1,4
745,1,5
747,1,1
747,1,2
747,1,3
747,1,4
747,1,5
749,1,1
749,1,2
749,1,3
749,1,4
749,1,5
753,1,1
753,1,2
753,1,3
753,1,4
753,1,5
756,1,1
756,1,2
756,1,3
756,1,4
756,1,5
764,1,1
764,1,2
764,1,3
764,1,4
764,1,5
765,1,1
765,1,2
765,1,3
765,1,4
765,1,5
769,1,1
769,1,2
769,1,3
769,1,4
769,1,5
778,1,1
778,1,2
778,1,3
778,1,4
778,1,5
779,1,1
779,1,2
779,1,3
779,1,4
779,1,5
784,1,1
784,1,2
784,1,3
784,1,4
784,1,5
787,1,1
787,1,2
787,1,3
787,1,4
787,1,5
800,1,1
800,1,2
800,1,3
800,1,4
800,1,5
804,1,1
804,1,2
804,1,3
804,1,4
804,1,5
805,1,1
805,1,2
805,1,3
805,1,4
805,1,5
806,1,1
806,1,2
806,1,3
806,1,4
806,1,5
809,1,1
809,1,2
809,1,3
809,1,4
809,1,5
813,1,1
813,1,2
813,1,3
813,1,4
813,1,5
823,1,1
823,1,2
823,1,3
823,1,4
823,1,5
824,1,1
824,1,2
824,1,3
824,1,4
824,1,5
825,1,1
825,1,2
825,1,3
825,1,4
825,1,5
828,1,1
828,1,2
828,1,3
828,1,4
828,1,5
837,1,1
837,1,2
837,1,3
837,1,4
837,1,5
838,1,1
838,1,2
838,1,3
838,1,4
838,1,5
843,1,1
843,1,2
843,1,3
843,1,4
843,1,5
845,1,1
845,1,2
845,1,3
845,1,4
845,1,5
847,1,1
847,1,2
847,1,3
847,1,4
847,1,5
858,1,1
858,1,2
858,1,3
858,1,4
858,1,5
864,1,1
864,1,2
